,scan,precursormz,totalIonCurrent,injectTime,scanTime
1075,15993,423.227386474609,3393016.25,78.595947265625,44.375725978933
1076,15994,538.737487792969,724877.4375,302.981170654297,44.377395737333
1077,15995,533.247680664063,413473.25,366.878356933594,44.382724745867
1078,15996,503.218902587891,2200595.25,136.018264770508,44.389119532267
1079,15997,486.216186523438,7129514.0,37.299121856689,44.391666197067
1080,15998,416.221588134766,4440435.5,56.673419952393,44.3925678824
1081,15999,495.758697509766,647066.25,266.140808105469,44.393792881333
1082,16000,437.224914550781,2234022.75,120.545272827148,44.398508358133
1083,16001,496.721313476563,816708.6875,231.357971191406,44.400797988
1084,16002,638.285278320313,810825.625,172.577651977539,44.40493382825
1085,16003,483.710205078125,8607327.0,22.0,44.408091005583
1086,16005,423.227386474609,3014639.75,66.372123718262,44.411798726933
1087,16006,538.737487792969,674751.3125,250.312362670898,44.413244257317
1088,16007,533.247680664063,524505.25,427.013427734375,44.417696808783
1089,16008,503.218902587891,1688821.25,92.773826599121,44.425092670383
1090,16009,486.216186523438,6802568.0,39.208068847656,44.42692281225
1091,16010,416.221588134766,4144901.75,54.353187561035,44.427857790117
1092,16011,495.758697509766,653151.0,279.518676757813,44.429043004517
1093,16012,437.224914550781,1738915.125,92.701942443848,44.433980809883
1094,16013,496.721313476563,746937.0625,224.565933227539,44.435804494667
1095,16014,638.285278320313,534589.0,229.126037597656,44.439827389583
1096,16015,483.710205078125,4050746.5,35.091049194336,44.443935161867
1097,16017,423.227386474609,3410755.5,68.691299438477,44.447833742933
1098,16018,538.737487792969,813345.0625,247.906402587891,44.449317492267
1099,16019,533.247680664063,341328.3125,314.129425048828,44.45373348
1100,16020,503.218902587891,1659328.5,108.666862487793,44.459249921083
1101,16021,486.216186523438,8580324.0,38.878612518311,44.4613417392
1102,16022,416.221588134766,2658916.75,54.305095672607,44.462269307467
1103,16023,495.758697509766,621772.1875,256.431457519531,44.4634540632
